1648771200.0	1648808925.0	B
1648808938.0	1648809358.0	C
1648809369.0	1648813863.0	D
1648813875.0	1648840676.0	A
1648840689.0	1648840984.0	B
1648840992.0	1648841556.0	C
1648841561.0	1648846295.0	D
1648846308.0	1648858833.0	B
1648858842.0	1648859296.0	B
1648859297.0	1648859522.0	B
1648859531.0	1648860510.0	C
1648860548.0	1648865125.0	D
1648865128.0	1648865241.0	C
1648865250.0	1648865523.0	B
1648865533.0	1648877985.0	B
1648877990.0	1648878110.0	B
1648878118.0	1648881319.0	C
1648881349.0	1648883212.0	D
1648883224.0	1648884285.0	C
1648884284.0	1648884561.0	B
1648884564.0	1648998798.0	B
1648998800.0	1648998963.0	B
1648998972.0	1648999380.0	C
1648999380.0	1649002683.0	D
1649002697.0	1649003433.0	B
1649003434.0	1649006286.0	B
1649006289.0	1649006452.0	B
1649006453.0	1649007135.0	C
1649007155.0	1649008552.0	D
1649008558.0	1649008735.0	C
1649008750.0	1649009023.0	B
1649009034.0	1649073463.0	B
1649073450.0	1649078607.0	A
1649078620.0	1649164858.0	B
1649164861.0	1649172296.0	A
1649172375.0	1649289727.0	B
1649289720.0	1649290145.0	C
1649290169.0	1649293069.0	D
1649293081.0	1649293222.0	C
1649293232.0	1649293556.0	B
1649293556.0	1649310478.0	B
1649310481.0	1649310607.0	B
1649310609.0	1649311053.0	C
1649311059.0	1649315773.0	D
1649315781.0	1649315907.0	C
1649315918.0	1649316278.0	B
1649316279.0	1649323674.0	B
1649323674.0	1649323855.0	B
1649323864.0	1649324671.0	C
1649324680.0	1649327809.0	D
1649327816.0	1649327926.0	C
1649327935.0	1649328230.0	B
1649328231.0	1649341202.0	B
1649341206.0	1649341321.0	B
1649341324.0	1649341674.0	C
1649341680.0	1649341767.0	B
1649341784.0	1649341958.0	C
1649341969.0	1649343517.0	D
1649343521.0	1649343602.0	C
1649343604.0	1649344011.0	B
1649344015.0	1649349841.0	B
1649349836.0	1649350022.0	B
1649350026.0	1649350346.0	C
1649350352.0	1649353143.0	D
1649353164.0	1649353683.0	C
1649353686.0	1649353989.0	B
1649353993.0	1649369433.0	B
1649369432.0	1649369641.0	B
1649369644.0	1649370025.0	C
1649370029.0	1649371619.0	D
1649371629.0	1649371761.0	C
1649371767.0	1649372550.0	B
1649372549.0	1649382358.0	B
1649382357.0	1649382502.0	B
1649382503.0	1649382942.0	C
1649382954.0	1649385686.0	D
1649385701.0	1649386502.0	C
1649386505.0	1649386798.0	B
1649386793.0	1649407093.0	B
1649407089.0	1649407262.0	B
1649407270.0	1649407702.0	C
1649407692.0	1649411260.0	D
1649411293.0	1649411616.0	C
1649411649.0	1649412585.0	D
1649412609.0	1649413557.0	C
1649413549.0	1649413858.0	B
1649413864.0	1649432947.0	B
1649432940.0	1649433090.0	B
1649433087.0	1649433588.0	C
1649433595.0	1649435197.0	D
1649435222.0	1649457242.0	B
1649457258.0	1649457473.0	B
1649457478.0	1649458607.0	C
1649458630.0	1649463512.0	D
1649463514.0	1649484779.0	B
1649484779.0	1649484873.0	B
1649484872.0	1649486233.0	C
1649486256.0	1649490684.0	D
1649490686.0	1649490888.0	C
1649490894.0	1649491202.0	B
1649491194.0	1649508436.0	B
1649508432.0	1649508548.0	B
1649508546.0	1649510102.0	C
1649510117.0	1649512826.0	D
1649512826.0	1649512982.0	C
1649512975.0	1649513269.0	B
1649513267.0	1649537981.0	B
1649537989.0	1649538159.0	B
1649538160.0	1649538607.0	C
1649538610.0	1649543659.0	D
1649543643.0	1649543941.0	B
1649543939.0	1649578130.0	B
1649578136.0	1649578204.0	B
1649578206.0	1649578611.0	C
1649578627.0	1649580745.0	D
1649580748.0	1649580882.0	C
1649580886.0	1649581204.0	B
1649581210.0	1649587142.0	B
1649587142.0	1649587266.0	B
1649587270.0	1649587974.0	C
1649588008.0	1649592697.0	D
1649592722.0	1649605573.0	B
1649605562.0	1649605983.0	B
1649605983.0	1649606101.0	B
1649606104.0	1649606480.0	C
1649606482.0	1649608980.0	D
1649608981.0	1649609128.0	C
1649609137.0	1649609455.0	B
1649609454.0	1649643232.0	B
1649643239.0	1649643368.0	B
1649643365.0	1649643647.0	C
1649643645.0	1649646274.0	D
1649646275.0	1649646406.0	C
1649646415.0	1649651820.0	B
1649651825.0	1649658127.0	B
1649658119.0	1649658584.0	B
1649658581.0	1649661929.0	C
1649661975.0	1649666755.0	D
1649666758.0	1649667126.0	B
